Configuration,Exact Accuracy,±1 Accuracy,±2 Accuracy,RMSE,Cohen's Kappa,Weighted Kappa,Pearson r
zero_shot_temp0.2_cotYes_structuredYes,0.3121 ± 0.0454,0.8818 ± 0.0321,0.9679 ± 0.0102,1.0944 ± 0.0749,0.0888 ± 0.0534,0.3844 ± 0.0748,0.4827 ± 0.1013
one_shot_temp0.2_cotYes_structuredYes,0.2900 ± 0.0739,0.9354 ± 0.0277,0.9839 ± 0.0131,0.9893 ± 0.0729,0.1099 ± 0.0870,0.4060 ± 0.1200,0.4161 ± 0.1230
few_shot_temp0.2_cotYes_structuredYes,0.3819 ± 0.0742,0.9300 ± 0.0277,0.9893 ± 0.0131,0.9336 ± 0.0984,0.1904 ± 0.1029,0.4431 ± 0.1517,0.4513 ± 0.1545
multi_shot_temp0.2_cotYes_structuredYes,0.3922 ± 0.0471,0.9624 ± 0.0274,1.0000 ± 0.0000,0.8473 ± 0.0500,0.1479 ± 0.0203,0.4523 ± 0.1065,0.5203 ± 0.1229
zero_shot_temp0.4_cotYes_structuredYes,0.3337 ± 0.0491,0.8605 ± 0.0345,0.9734 ± 0.0288,1.0964 ± 0.1261,0.1283 ± 0.0547,0.3999 ± 0.0891,0.5006 ± 0.0950
one_shot_temp0.4_cotYes_structuredYes,0.2956 ± 0.0633,0.8980 ± 0.0191,0.9731 ± 0.0003,1.0689 ± 0.0477,0.1008 ± 0.0979,0.3317 ± 0.1199,0.3413 ± 0.1168
few_shot_temp0.4_cotYes_structuredYes,0.3818 ± 0.0605,0.9354 ± 0.0135,0.9947 ± 0.0105,0.9141 ± 0.0510,0.1739 ± 0.0962,0.4700 ± 0.1040,0.4846 ± 0.1041
multi_shot_temp0.4_cotYes_structuredYes,0.3814 ± 0.0519,0.9410 ± 0.0198,1.0000 ± 0.0000,0.8913 ± 0.0358,0.1290 ± 0.0683,0.3719 ± 0.1148,0.4404 ± 0.1388
zero_shot_temp0.6_cotYes_structuredYes,0.3225 ± 0.0677,0.8444 ± 0.0340,0.9733 ± 0.0166,1.1268 ± 0.0912,0.1064 ± 0.0698,0.3592 ± 0.0880,0.4547 ± 0.1113
one_shot_temp0.6_cotYes_structuredYes,0.3656 ± 0.0401,0.9300 ± 0.0368,0.9785 ± 0.0202,0.9690 ± 0.1136,0.1884 ± 0.0585,0.4325 ± 0.1329,0.4449 ± 0.1313
few_shot_temp0.6_cotYes_structuredYes,0.3606 ± 0.0957,0.9246 ± 0.0466,0.9893 ± 0.0131,0.9488 ± 0.1368,0.1567 ± 0.1341,0.4352 ± 0.1922,0.4431 ± 0.1934
multi_shot_temp0.6_cotYes_structuredYes,0.3812 ± 0.0796,0.9354 ± 0.0135,1.0000 ± 0.0000,0.8994 ± 0.0594,0.1127 ± 0.1104,0.3739 ± 0.1044,0.4256 ± 0.1167
zero_shot_temp0.8_cotYes_structuredYes,0.3226 ± 0.0542,0.8657 ± 0.0447,0.9677 ± 0.0109,1.1102 ± 0.0953,0.1082 ± 0.0615,0.3866 ± 0.0921,0.4750 ± 0.1163
one_shot_temp0.8_cotYes_structuredYes,0.3223 ± 0.0825,0.8872 ± 0.0355,0.9731 ± 0.0171,1.0688 ± 0.0899,0.1347 ± 0.0976,0.3784 ± 0.0850,0.4001 ± 0.0823
few_shot_temp0.8_cotYes_structuredYes,0.3600 ± 0.0765,0.8979 ± 0.0264,0.9893 ± 0.0131,0.9954 ± 0.0942,0.1508 ± 0.1043,0.3965 ± 0.1436,0.4129 ± 0.1440
multi_shot_temp0.8_cotYes_structuredYes,0.3654 ± 0.0301,0.9300 ± 0.0218,1.0000 ± 0.0000,0.9185 ± 0.0304,0.1114 ± 0.0797,0.3597 ± 0.1062,0.4056 ± 0.1249
